date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:50	5834/5834	---M--	404	error ('Not%20Found')	text/html	etag:%223e4f463dbce3d7518af91414345975e9%22	http://projects-legacy.ez.no/robots.txt		(from )
10:43:52	415898/415898	---M--	200	added ('OK')	text/html	etag:%22c240ec3e4acf2c2b4ceac93c7ff4f730%22	http://projects-legacy.ez.no/	projects-legacy.ez.no/index.html	(from )
10:43:55	18249/18249	---M--	200	added ('OK')	application/zip	etag:%22038ab55fa35c7f56682942938d0ede91%22	http://projects-legacy.ez.no/svn/30_second_timeout_remedy.zip	projects-legacy.ez.no/svn/30_second_timeout_remedy.zip	(from http://projects-legacy.ez.no/)
10:43:55	200/200	---M--	200	added ('OK')	application/zip	etag:%2272a783974ddd7c0b9362817e5df8a4d4%22	http://projects-legacy.ez.no/src/30_second_timeout_remedy.zip	projects-legacy.ez.no/src/30_second_timeout_remedy.zip	(from http://projects-legacy.ez.no/)
10:43:56	17622/17622	---M--	200	added ('OK')	application/zip	etag:%225cbea22e039977e85c3089e1b6ab5658%22	http://projects-legacy.ez.no/svn/abpdfcatalogue.zip	projects-legacy.ez.no/svn/abpdfcatalogue.zip	(from http://projects-legacy.ez.no/)
10:43:57	180/180	---M--	200	added ('OK')	application/zip	etag:%22b84ea5124b4a351f34cae8cc98eba80a%22	http://projects-legacy.ez.no/src/abpdfcatalogue.zip	projects-legacy.ez.no/src/abpdfcatalogue.zip	(from http://projects-legacy.ez.no/)
10:43:58	73334/73334	---M--	200	added ('OK')	application/zip	etag:%224e46981e0027c39bc27233fc0faab21e%22	http://projects-legacy.ez.no/svn/accessibility_improvements.zip	projects-legacy.ez.no/svn/accessibility_improvements.zip	(from http://projects-legacy.ez.no/)
10:44:00	56423/56423	---M--	200	added ('OK')	application/zip	etag:%225681ae30f2b8c82f9875ec74c5f8ab35%22	http://projects-legacy.ez.no/src/accessibility_improvements.zip	projects-legacy.ez.no/src/accessibility_improvements.zip	(from http://projects-legacy.ez.no/)
10:44:00	17391/17391	---M--	200	added ('OK')	application/zip	etag:%22f7f34865187f6bcaaa96e859970fdede%22	http://projects-legacy.ez.no/svn/access_keys.zip	projects-legacy.ez.no/svn/access_keys.zip	(from http://projects-legacy.ez.no/)
10:44:01	174/174	---M--	200	added ('OK')	application/zip	etag:%22f752c9e5b843ccd3fe497713471392fe%22	http://projects-legacy.ez.no/src/access_keys.zip	projects-legacy.ez.no/src/access_keys.zip	(from http://projects-legacy.ez.no/)
10:44:02	21374/21374	---M--	200	added ('OK')	application/zip	etag:%2233794009701cfc760c1c7ecd741e2ec8%22	http://projects-legacy.ez.no/svn/accolorpicker.zip	projects-legacy.ez.no/svn/accolorpicker.zip	(from http://projects-legacy.ez.no/)
10:44:03	178/178	---M--	200	added ('OK')	application/zip	etag:%2271de8d3e76fef9c4df2361439cb2eaa2%22	http://projects-legacy.ez.no/src/accolorpicker.zip	projects-legacy.ez.no/src/accolorpicker.zip	(from http://projects-legacy.ez.no/)
10:44:04	28357/28357	---M--	200	added ('OK')	application/zip	etag:%226d8190527c6316fc6bef493ee1c56dcc%22	http://projects-legacy.ez.no/svn/addcollabrule.zip	projects-legacy.ez.no/svn/addcollabrule.zip	(from http://projects-legacy.ez.no/)
10:44:05	16123/16123	---M--	200	added ('OK')	application/zip	etag:%224957ecdd185366a4d0e41a6b5b42aa9b%22	http://projects-legacy.ez.no/src/addcollabrule.zip	projects-legacy.ez.no/src/addcollabrule.zip	(from http://projects-legacy.ez.no/)
10:44:06	17193/17193	---M--	200	added ('OK')	application/zip	etag:%22c0c6b6b9bc045ebde997ca480af1b109%22	http://projects-legacy.ez.no/svn/addicted.zip	projects-legacy.ez.no/svn/addicted.zip	(from http://projects-legacy.ez.no/)
10:44:07	168/168	---M--	200	added ('OK')	application/zip	etag:%22069a7bb557b1ea0f29041c0dc5fd0197%22	http://projects-legacy.ez.no/src/addicted.zip	projects-legacy.ez.no/src/addicted.zip	(from http://projects-legacy.ez.no/)
10:44:08	19833/19833	---M--	200	added ('OK')	application/zip	etag:%22260c61be0a5777b4367b4abdbbf14982%22	http://projects-legacy.ez.no/svn/adding_multiple_items_to_the_shop_basket_at_once.zip	projects-legacy.ez.no/svn/adding_multiple_items_to_the_shop_basket_at_once.zip	(from http://projects-legacy.ez.no/)
